codigo;nome;preco;imagem;link
"BOM-1239";"CHAVE ESTRELA ESTRIADO 24 X 27MM";"R$ 22,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_456301-580x435.PNG?version=2024102613370804122024082524";"https://camargoebarros.futurasistemas.com.br/3198-CHAVE-ESTRELA-ESTRIADO-24-X-27MM-BOM-1239"
"BOM-1240";"CHAVE ESTRELA ESTRIADO 25 X 28MM";"R$ 28,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_456201-580x435.PNG?version=2024102613372904122024082524";"https://camargoebarros.futurasistemas.com.br/3197-CHAVE-ESTRELA-ESTRIADO-25-X-28MM-BOM-1240"
"BOM-1241";"CHAVE ESTRELA ESTRIADO 30 X 32MM";"R$ 34,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_456101-580x435.PNG?version=2024102613265504122024082524";"https://camargoebarros.futurasistemas.com.br/3196-CHAVE-ESTRELA-ESTRIADO-30-X-32MM-BOM-1241"
"BOM-1230";"CHAVE ESTRELA ESTRIADO 6 X 7MM";"R$ 6,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_454601-580x435.PNG?version=2024101712055904122024082524";"https://camargoebarros.futurasistemas.com.br/3184-CHAVE-ESTRELA-ESTRIADO-6-X-7MM-BOM-1230"
"BOM-1231";"CHAVE ESTRELA ESTRIADO 8 X 9MM";"R$ 7,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_454701-580x435.PNG?version=2024101712060404122024082524";"https://camargoebarros.futurasistemas.com.br/3185-CHAVE-ESTRELA-ESTRIADO-8-X-9MM-BOM-1231"
"AR0052";"CHAVE ESTRELA PROFISSIONAL STARTOOLS 10 X 12 X 14 MM";"R$ 12,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_386901-580x435.PNG?version=2024100809452004122024082524";"https://camargoebarros.futurasistemas.com.br/2708-CHAVE-ESTRELA-PROFISSIONAL-STARTOOLS-10-X-12-X-14-MM-AR0052"
"AR0053";"CHAVE ESTRELA PROFISSIONAL STARTOOLS 13 X 15 X 17 MM";"R$ 15,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_416301-580x435.PNG?version=2024100809430904122024082524";"https://camargoebarros.futurasistemas.com.br/2877-CHAVE-ESTRELA-PROFISSIONAL-STARTOOLS-13-X-15-X-17-MM-AR0053"
"BOM-1538";"CHAVE EXTRATOR DE CORRENTE";"R$ 12,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_479001-580x435.PNG?version=2025062410284304122024082524";"https://camargoebarros.futurasistemas.com.br/3358-CHAVE-EXTRATOR-DE-CORRENTE-BOM-1538"
"BOM-3205";"CHAVE HIDRAULICA REPARADORA MULTIFUNCIONAL COM NIVEL";"R$ 12,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_388801-580x435.PNG?version=2025070414531304122024082524";"https://camargoebarros.futurasistemas.com.br/2724-CHAVE-HIDRAULICA-REPARADORA-MULTIFUNCIONAL-COM-NIVEL-BOM-3205"
"AR0428";"CHAVE INGLESA AJUSTAVEL 10" STARTOOLS";"R$ 22,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_376801-580x435.PNG?version=2026040811551004122024082524";"https://camargoebarros.futurasistemas.com.br/2457-CHAVE-INGLESA-AJUSTAVEL-10-STARTOOLS-AR0428"
"BOM-1287";"CHAVE INGLESA AJUSTAVEL 12"";"R$ 24,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_463901-580x435.PNG?version=2024120218332604122024082524";"https://camargoebarros.futurasistemas.com.br/3251-CHAVE-INGLESA-AJUSTAVEL-12-BOM-1287"
"AR0427";"CHAVE INGLESA AJUSTAVEL 8" STARTOOLS";"R$ 15,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_370301-580x435.PNG?version=2026040811524004122024082524";"https://camargoebarros.futurasistemas.com.br/2629-CHAVE-INGLESA-AJUSTAVEL-8-STARTOOLS-AR0427"
"BOM-1283";"CHAVE INGLESA AJUSTAVEL CABO EMBORRACHADO 12"";"R$ 27,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_463801-580x435.PNG?version=2024120218270004122024082524";"https://camargoebarros.futurasistemas.com.br/3250-CHAVE-INGLESA-AJUSTAVEL-CABO-EMBORRACHADO-12-BOM-1283"
"88025";"CHAVE INGLESA AJUSTAVEL CABO EMBORRACHADO 8"";"R$ 15,00";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_320301-580x435.PNG?version=2024100118203004122024082524";"https://camargoebarros.futurasistemas.com.br/2304-CHAVE-INGLESA-AJUSTAVEL-CABO-EMBORRACHADO-8-88025"
"BOM-3212";"CHAVE MULTI FUNÇÃO UNIVERSAL C/ 2 PCS";"R$ 24,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_460201-580x435.PNG?version=2025072816290004122024082524";"https://camargoebarros.futurasistemas.com.br/2421-CHAVE-MULTI-FUNCAO-UNIVERSAL-C-2-PCS-BOM-3212"
"10525";"CHAVE PARA ESMERILHADEIRA UNIVERSAL C/ REGULAGEM";"R$ 8,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_483601-580x435.PNG?version=2026051811352204122024082524";"https://camargoebarros.futurasistemas.com.br/3396-CHAVE-PARA-ESMERILHADEIRA-UNIVERSAL-C-REGULAGEM-10525"
"BOM-1120";"CHAVE PHILIPS 1/8 3"";"R$ 3,60";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_485501-580x435.PNG?version=2025031212244404122024082524";"https://camargoebarros.futurasistemas.com.br/3411-CHAVE-PHILIPS-1-8-3-BOM-1120"
"AR0015";"CHAVE PHILIPS 10" STARTOOLS";"R$ 8,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_396601-580x435.PNG?version=2026011714564304122024082524";"https://camargoebarros.futurasistemas.com.br/2787-CHAVE-PHILIPS-10-STARTOOLS-AR0015"
"AR0001";"CHAVE PHILIPS 3/16 1,1/2" STARTOOLS";"R$ 3,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_475901-580x435.PNG?version=2026041511170904122024082524";"https://camargoebarros.futurasistemas.com.br/3333-CHAVE-PHILIPS-3-16-1-1-2-STARTOOLS-AR0001"
"AR0005";"CHAVE PHILIPS 3/16 10" STARTOOLS";"R$ 6,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_475801-580x435.PNG?version=2026011616550104122024082524";"https://camargoebarros.futurasistemas.com.br/3332-CHAVE-PHILIPS-3-16-10-STARTOOLS-AR0005"
"AR0002";"CHAVE PHILIPS 3/16 4" STARTOOLS";"R$ 5,30";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_476001-580x435.PNG?version=2026011616490604122024082524";"https://camargoebarros.futurasistemas.com.br/3334-CHAVE-PHILIPS-3-16-4-STARTOOLS-AR0002"
"AR0003";"CHAVE PHILIPS 3/16 6" STARTOOLS";"R$ 5,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_476101-580x435.PNG?version=2026011616495504122024082524";"https://camargoebarros.futurasistemas.com.br/3335-CHAVE-PHILIPS-3-16-6-STARTOOLS-AR0003"
"AR0004";"CHAVE PHILIPS 3/16 8" STARTOOLS";"R$ 6,20";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_476201-580x435.PNG?version=2026011616530604122024082524";"https://camargoebarros.futurasistemas.com.br/3336-CHAVE-PHILIPS-3-16-8-STARTOOLS-AR0004"
"AR0012";"CHAVE PHILIPS 4" STARTOOLS";"R$ 5,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_395701-580x435.JPG?version=2026011711311804122024082524";"https://camargoebarros.futurasistemas.com.br/2514-CHAVE-PHILIPS-4-STARTOOLS-AR0012"
"AR0013";"CHAVE PHILIPS 6" STARTOOLS";"R$ 6,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_395601-580x435.JPG?version=2026011210412704122024082524";"https://camargoebarros.futurasistemas.com.br/2777-CHAVE-PHILIPS-6-STARTOOLS-AR0013"
"AR0014";"CHAVE PHILIPS 8" STARTOOLS";"R$ 7,60";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_396401-580x435.PNG?version=2025080517220504122024082524";"https://camargoebarros.futurasistemas.com.br/2785-CHAVE-PHILIPS-8-STARTOOLS-AR0014"
"BJ2112";"CHAVE PHILIPS CABO EMBORRACHADO PONTA C/ IMÃ 19,5 CM";"R$ 3,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_306601-580x435.PNG?version=2026021012124404122024082524";"https://camargoebarros.futurasistemas.com.br/2215-CHAVE-PHILIPS-CABO-EMBORRACHADO-PONTA-C-IMA-19-5-CM-BJ2112"
"BOM-1141";"CHAVE PHILIPS ISOLADA 1/8 3"";"R$ 4,95";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_485601-580x435.PNG?version=2025031212314404122024082524";"https://camargoebarros.futurasistemas.com.br/3412-CHAVE-PHILIPS-ISOLADA-1-8-3-BOM-1141"
"AR0438";"CHAVE PHILIPS ISOLADA 4" STARTOOLS";"R$ 5,60";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_345801-580x435.PNG?version=2025091118073304122024082524";"https://camargoebarros.futurasistemas.com.br/2483-CHAVE-PHILIPS-ISOLADA-4-STARTOOLS-AR0438"
"AR0440";"CHAVE PHILIPS ISOLADA 5" STARTOOLS";"R$ 6,20";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_345901-580x435.PNG?version=2025091118142704122024082524";"https://camargoebarros.futurasistemas.com.br/2486-CHAVE-PHILIPS-ISOLADA-5-STARTOOLS-AR0440"
"0SS";"CHAVE SACA FILTRO DE OLEO DE 60 A 100 MM EDA";"R$ 24,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_503201-580x435.JPG?version=2025112416004404122024082524";"https://camargoebarros.futurasistemas.com.br/3535-CHAVE-SACA-FILTRO-DE-OLEO-DE-60-A-100-MM-EDA-0SS"
"AR0233";"CHAVE TESTE VOLTAGEM 127-240V STARTOOLS";"R$ 14,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_508501-580x435.JPG?version=2026011912521404122024082524";"https://camargoebarros.futurasistemas.com.br/3575-CHAVE-TESTE-VOLTAGEM-127-240V-STARTOOLS-AR0233"
"BOM-6401";"CHAVE TESTE CANETA DETECTORA DE ENERGIA ELETRICA";"R$ 8,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_525801-580x435.JPG?version=2025101110585204122024082524";"https://camargoebarros.futurasistemas.com.br/2733-CHAVE-TESTE-CANETA-DETECTORA-DE-ENERGIA-ELETRICA-BOM-6401"
"AR0232";"CHAVE TESTE DIGITAL VOLTAGEM 12-240V STARTOOLS";"R$ 4,60";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_367401-580x435.PNG?version=2025091117160204122024082524";"https://camargoebarros.futurasistemas.com.br/2610-CHAVE-TESTE-DIGITAL-VOLTAGEM-12-240V-STARTOOLS-AR0232"
"AR0231";"CHAVE TESTE VOLTAGEM 127-240V STARTOOLS";"R$ 2,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_367301-580x435.PNG?version=2026051912150204122024082524";"https://camargoebarros.futurasistemas.com.br/2609-CHAVE-TESTE-VOLTAGEM-127-240V-STARTOOLS-AR0231"
"BOM-1201";"CHAVE TIGRE UNIVERSAL 8 EM 1 360º";"R$ 25,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_390301-580x435.PNG?version=2025082816280104122024082524";"https://camargoebarros.futurasistemas.com.br/2638-CHAVE-TIGRE-UNIVERSAL-8-EM-1-360--BOM-1201"
"0ZN";"CHAVES BIELAS VAZADAS COM 7 PCS 8 A 13MM PROFISSIONAL EDA";"R$ 79,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_557301-580x435.JPG?version=2026032113350604122024082524";"https://camargoebarros.futurasistemas.com.br/3912-CHAVES-BIELAS-VAZADAS-COM-7-PCS-8-A-13MM-PROFISSIONAL-EDA-0ZN"
"BOM-2485";"CHUVEIRO ELETRICO COM DUCHA 6000W 110V";"R$ 62,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_546701-580x435.JPG?version=2026012812242504122024082524";"https://camargoebarros.futurasistemas.com.br/3820-CHUVEIRO-ELETRICO-COM-DUCHA-6000W-110V-BOM-2485"
"BOM-2486";"CHUVEIRO ELETRICO COM DUCHA 6000W 220V";"R$ 62,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_548201-580x435.JPG?version=2026020218382304122024082524";"https://camargoebarros.futurasistemas.com.br/3828-CHUVEIRO-ELETRICO-COM-DUCHA-6000W-220V-BOM-2486"
"N";"+2952 KIT REPARO REFIL PARA DE P";"R$ 4,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_462701-580x435.PNG?version=2024112917513804122024082524";"https://camargoebarros.futurasistemas.com.br/1992-KIT-REPARO-REFIL-PARA-DE-PNEUS-2952"
"BOM-7436";"CINTA CATRACA C/ 2 PCS CARGA MAXIMA 1000 KG 2,5 CM X 4,6 MTS";"R$ 69,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_532801-580x435.JPG?version=2025100112082804122024082524";"https://camargoebarros.futurasistemas.com.br/3748-CINTA-CATRACA-C-2-PCS-CARGA-MAXIMA-1000-KG-2-5-CM-X-4-6-MTS-BOM-7436"
"BOM-7431";"CINTA CATRACA C/ 2 PCS CARGA MAXIMA 700 KG 2,5 CM X 4,5 MTS";"R$ 42,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_506301-580x435.JPG?version=2026030910485204122024082524";"https://camargoebarros.futurasistemas.com.br/3563-CINTA-CATRACA-C-2-PCS-CARGA-MAXIMA-700-KG-2-5-CM-X-4-5-MTS-BOM-7431"
"BOM-7427";"CINTA CATRACA CARGA MAXIMA 1000 KG 3,2 CM X 5 MTS";"R$ 38,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_553601-580x435.JPG?version=2026030916202704122024082524";"https://camargoebarros.futurasistemas.com.br/3866-CINTA-CATRACA-CARGA-MAXIMA-1000-KG-3-2-CM-X-5-MTS-BOM-7427"
"BOM-7426";"CINTA CATRACA CARGA MAXIMA 2000 KG 3,8 CM X 6 MTS";"R$ 48,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_553501-580x435.JPG?version=2026030916202104122024082524";"https://camargoebarros.futurasistemas.com.br/3865-CINTA-CATRACA-CARGA-MAXIMA-2000-KG-3-8-CM-X-6-MTS-BOM-7426"
"AR0293";"CINTA CATRACA CARGA MAXIMA 700 KG 2,5 CM X 4,5 MTS STARTOOLS";"R$ 26,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_492901-580x435.JPG?version=2025080609551704122024082524";"https://camargoebarros.futurasistemas.com.br/3461-CINTA-CATRACA-CARGA-MAXIMA-700-KG-2-5-CM-X-4-5-MTS-STARTOOLS-AR0293"
"30006";"CINTA COM CATRACA AMARRAR CARGA 3 TON. 5 CM X 10 M";"R$ 53,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_459501-580x435.PNG?version=2026022012174104122024082524";"https://camargoebarros.futurasistemas.com.br/2989-CINTA-COM-CATRACA-AMARRAR-CARGA-3-TON-5-CM-X-10-M-30006"
"90142331";"CINTA COM CATRACA AMARRAR CARGA 3 TON. 50MM X 9M GOLFIELD";"R$ 62,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_515301-580x435.JPG?version=2025100816341504122024082524";"https://camargoebarros.futurasistemas.com.br/3634-CINTA-COM-CATRACA-AMARRAR-CARGA-3-TON-50MM-X-9M-GOLFIELD-90142331"
